wall_time,frame_id,f0,intensity_db,rhythm_db_std,rms,voiced_ratio,dF0,dI,dR,role,raw_role,gaze,gaze_ratio_role_window,gaze_threshold,gaze_valid_sec,gaze_engaged_by_role,gaze_role_score,gaze_score_for_fusion,torso_position,feet_pointing,crossed_arms,sleepy_eyes,smile,eyebrow_raise,visual_ok,visual_age,http_status,api_latency,p_t,v_t,r_t,s_t,engagement_raw,engagement
1787650745.943,123,237.94183231022456,39.337079694186826,25.23248744068822,0.03705930371257439,0.4020618556701031,-0.0765210074386361,0.17356238192509607,0.05538528018346334,speaker,speaker,camera,1.0,0.3,0.3333333333333333,,0.0,,towards,not_visible,no,no,no,no,True,0.37278246879577637,200,0.3519008159637451,0.21034157736947293,0.07575757575757576,0.9706185567010309,0.1161327762411449,0.5070445730478815,0.5028178292191526
1787650746.277,133,228.67104907427654,44.270867677790285,25.37830925405557,0.03476824128706549,0.4639175257731959,-0.11552580815939273,0.6652055564661914,0.06941360871836366,speaker,speaker,camera,1.0,0.3,0.6673396428426106,,0.0,,towards,not_visible,no,no,no,no,True,0.10250186920166016,200,0.35326671600341797,0.6315755144836677,0.07575757575757576,0.9891752577319588,0.24250295737540334,0.5218614418047169,0.5104352742533784
1787650746.615,143,228.67104907458295,37.590921532422094,32.69571243603748,0.03476783251152958,0.4639175257731959,-0.11443418835303243,-0.00944111363528961,0.8004597908293715,speaker,speaker,camera,1.0,0.3,1.0053139527638753,,0.0,,towards,not_visible,no,no,no,no,True,0.06091499328613281,200,0.3710517883300781,0.5299400777659073,0.07575757575757576,0.9891752577319588,0.21201232636007525,0.534425481406655,0.5200313571146891
1787650746.949,153,214.18646217067203,12.585972719805566,25.41429444430867,0.01581376645435501,0.1958762886597938,-0.17878985908173448,-2.509841583760589,0.0643133937481963,speaker,listener,camera,1.0,0.3,1.3393884499867756,,0.0,,towards,not_visible,no,no,no,no,True,0.04574179649353027,200,0.34924769401550293,-1.8798903012186865,0.07575757575757576,0.9087628865979381,-0.5109367873353029,0.4930611405575929,0.5092432704918506
1787650747.287,163,nan,0.0,0.0,3.7888829974600895e-05,0.0,0.0,-3.7433404399035397,-2.4777591846201523,speaker,listener,camera,1.0,0.3,1.6768909295399983,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.029184341430664062,200,0.3525390625,0.0,0.11363636363636365,1.0,0.07954545454545454,0.4981918836036986,0.5048227157365898
1787650747.655,174,201.01725858590447,7.812009616010632,16.22701367803775,0.010151128550289198,0.05154639175257732,-0.24060751951935652,-2.9621394783024764,-0.8550578168163774,speaker,listener,camera,1.0,0.3,2.0454293092091875,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.049549102783203125,200,0.3481736183166504,-2.7624425129721293,0.11363636363636365,0.8654639175257732,-0.7491872993461842,0.4417644333526782,0.47959940278302515
1787650748.007,185,243.64433858395859,30.46134084031083,30.03237005459168,0.025691085448482344,0.28865979381443296,-0.04828875520950348,-0.6972063558724567,0.5254778208390156,speaker,speaker,camera,1.0,0.3,2.396877606709798,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.05248761177062988,200,0.3485097885131836,-0.21833401458980428,0.11363636363636365,0.9365979381443299,0.014045250168513268,0.4438955366268674,0.4653178563205621
1787650748.343,195,276.3904435621109,56.19481089975869,18.486701875904327,0.04848754149278919,0.5876288659793815,0.07828775287445323,1.8831127136310541,-0.6343437752381099,speaker,speaker,camera,1.0,0.3,2.733458598454793,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.03650712966918945,200,0.35256147384643555,1.1650277821992043,0.11363636363636365,1.0,0.4290537892052158,0.47179249876410007,0.46790771329797726
1787650748.679,205,294.2815179540355,60.46838558310984,14.518667533830417,0.05174129380488693,0.6701030927835051,0.1401960826700197,2.291639054829859,-1.0248037716931198,speaker,speaker,camera,1.0,0.3,3.0689509709676104,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.02396678924560547,200,0.3470320701599121,1.2885270221830254,0.11363636363636365,1.0,0.4661035612003621,0.5015424906217584,0.48136162422748974
1787650749.015,215,308.57400398369975,47.33839896327686,24.538453235577396,0.046049050641976855,0.4639175257731959,0.18611706476773654,0.9557240022982618,-0.012577163801490699,speaker,speaker,camera,1.0,0.3,3.4054456551869707,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.009897470474243164,200,0.35056400299072266,0.8500914359415834,0.11363636363636365,0.9891752577319588,0.33457288532792956,0.5221769097477903,0.49768773843561
1787650749.351,225,309.6669613952095,38.00258073004478,19.01816259937199,0.024029756304649555,0.12371134020618557,0.1876092256476665,0.012584938952071667,-0.5644804557840164,speaker,listener,camera,1.0,0.3,3.7416716416676836,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.34612345695495605,200,0.35056400299072266,-0.23481570948491925,0.11363636363636365,0.8871134020618556,0.009100741699978765,0.5221715681609482,0.5074812703257453
1787650749.719,236,nan,37.97696829024896,12.992591069920975,0.012240266844415768,0.0,0.0,0.010023694972490204,-1.1670376087291179,speaker,listener,camera,1.0,0.3,4.108848889668782,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.013114213943481445,200,0.34612560272216797,-0.6922036092594785,0.11363636363636365,0.85,-0.12811562823238903,0.5121453117822904,0.5093468869083634
1787650750.063,247,nan,40.89985961416352,11.714301040348863,0.01237588269379897,0.0,0.0,0.30231282736394577,-1.2948666116863292,speaker,listener,camera,1.0,0.3,4.453590710957845,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.004997730255126953,200,0.352858304977417,-0.5350697051206409,0.11363636363636365,0.85,-0.08097545699073773,0.5058455646621538,0.5079463580098795
1787650750.423,257,207.4832643252821,43.63988952748488,18.796859546121333,0.042005941050343214,0.23711340206185566,-0.2128374921038589,0.5763158186960823,-0.5866107611090822,speaker,speaker,camera,1.0,0.3,4.813571294148763,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.007506847381591797,200,0.3564722537994385,0.21550494434334605,0.11363636363636365,0.9211340206185566,0.14419693784845836,0.514009261830957,0.5103715195383105
1787650750.774,268,207.99550202436006,44.4250256943819,17.995664086955976,0.04197587006688822,0.25773195876288657,-0.20845275485490924,0.6490662771988234,-0.660864199414527,speaker,speaker,camera,1.0,0.3,5.164534171422322,True,1.0,0.55,towards,not_visible,no,no,no,no,True,0.030949831008911133,200,0.32751989364624023,0.22696087953779714,0.11363636363636365,0.927319587628866,0.14763371840679368,0.5222325570510145,0.515115934543392
